english,japanese
champion,優勝者
seek,～を捜し求める
partner,仲間
bite,～をかむ
rude,無礼な
police station,交番
rat,ネズミ
argument,議論
safely,安全に
male,男性の
central,中心の
London,ロンドン
washing machine,洗濯機
contact,接触
Italian,イタリアの
hunger,空腹
mysterious,謎めいた
respect,尊敬
completely,完全に
plastic,プラスチック
curve,曲線
printer,印刷機
surely,確かに
actual,現実に起こった
foolish,愚かな
Sydney,シドニー
manager,管理者
cleaning,掃除
flood,洪水
realize,～に気が付く
performance,実績
offer,～を提供する
pleased,満足した
task,仕事
traffic light,交通信号灯
onto,～の上へ
secretly,秘密に
judge,裁判官
legal,法律の
section,区分
whale,クジラ
main,主要な
raw,生の
luxury,豪華さ
being,存在
cough,咳をする
fortunately,幸いにも
wedding,結婚式
gain,～を苦労して得る
sight,視力
therefore,それゆえに
horror,恐怖
pencil sharpener,鉛筆削り
bill,請求書
reality,現実
Canadian,カナダの
guard,～を守る
passive,消極的な
crime,犯罪
spread,～を広げる
branch,枝
clerk,事務員
deaf,耳が聞こえない
someday,いつか
response,応答
California,カリフォルニア
European,ヨーロッパの
bend,～を曲げる
mark,しるし
bowl,ボウル
senior,年上の
positive,積極的な
ignore,～を無視する
boot,ブーツ
otherwise,さもなければ
finding,発見
usage,使用
wherever,どこに～しようとも
comment,コメント
navy,海軍
lead,鉛
Greece,ギリシャ
selfish,利己的な
contest,競技
ministry,内閣
parking,駐車
afterward,後で
destroy,～を破壊する
usual,いつもの
passport,パスポート
blame,～を非難する
scenery,風景
citizen,市民
honey,蜂蜜
recognize,～に覚えがある
flat,平らな
elegant,優雅な
worker,労働者
meanwhile,その間に
diver,ダイバー
suggest,～を提案する
neat,きちんとした
nation,国家
aboard,乗り物に乗って
Russian,ロシアの
inform,～に情報を与える
apron,エプロン
effect,効果
trick,たくらみ
sign language,手話
bargain,特売品
adolescent,青春期の若者
reduce,～を減少させる
nowhere,どこにも～ない
automatic,自動の
period,期間
pure,純粋な
balloon,気球
whichever,どちらでも
beginning,最初
elsewhere,どこかほかの所へ
cultural,文化的な
"Washington, D.C.",ワシントン市
ordinary,普通の
boxing,ボクシング
teapot,ティーポット
crowd,群集
wealth,富
fix,～をしっかり固定する
image,印象
shot,発射
sooner,より早く
tropical,熱帯の
elementary,初歩的な
satisfy,～を満足させる
underwear,下着
weigh,～の重さを量る
conclusion,結論
privilege,特権
sandal,サンダル
British,英国の
row,列
choice,選択
mad,気が狂った
sketchbook,スケッチブック
capability,能力
release,～を解放する
thus,このように
perform,(仕事を)行う
sort,種類
journey,旅行
mathematics,数学
practice,～を実践する
object,物体
eastern,東の
explore,～を探検する
department,部門
gentle,優しい
sadly,悲しそうに
dentist,歯科医
steady,しっかり固定された
trousers,ズボン
reporter,報告者
pour,～を注ぐ
drum,太鼓
ribbon,リボン
tore,～を引き裂いた
pizza,ピザ
Greek,ギリシャの
sharply,鋭く
due,当然与えられるべき
landscape,景色
spot,地点
fisherman,漁師
downstairs,階下へ
contain,～を含む
worried,心配そうな
bucket,バケツ
boxer,ボクサー
aim,目的
refuse,～を断る
grave,墓
hometown,故郷
wooden,木製の
coach,指導者
further,さらに遠くへ
Indian,インドの
bush,低木
weekday,平日
farewell,別れ
intention,意図
schedule,予定表
native,母国の
wrist,手首
board,板
deny,～を否定する
cord,紐
complex,複雑な
discussion,討議
personally,個人的に
