one,two,ans
全く,勇敢に,全く
店員,文明,店員
動的な,診断上の,動的な
部族,機械装置,機械装置
説明,探検,探検
提案,非難,提案
耳たぶ,耳の痛み,耳の痛み
運送業,下の方へ,下の方へ
卓越した,広大な,広大な
水を通さない,しわにならない,水を通さない
郊外,静けさ,郊外
見通し,殺人者,殺人者
春,～を寄付する,～を寄付する
才能,祝典,祝典
理想的に,ゆるく,理想的に
試供品の,三角の,三角の
単一,一団,一団
面白いことに,即座に,面白いことに
破片,千鳥足,破片
～を孤立させる,～を混同する,～を孤立させる
盗まれた,愛情に満ちた,愛情に満ちた
訓練,貿易,貿易
原子,粒子,原子
遺産,伝説,伝説
公爵,子爵,公爵
緊急,荒い鼻息,緊急
拒否の,地域の,地域の
関心事,～を集結させる,～を集結させる
心から,首尾よく,首尾よく
係員,頼っている,頼っている
不動産,警戒,警戒
歯痛,統一,統一
符号,糸,符号
描写,繋がり,描写
袋,棚,袋
活力,刺激,刺激
着付け係,避難所,着付け係
満足のできる,湿った,満足のできる
人類,ユーモア,ユーモア
手段,視点,視点
査定,打つ人,査定
再検討,改善する,再検討
ウマ,ロバ,ロバ
正確に,頭上に,正確に
妨害,興味,妨害
名前のわからない,曖昧な,曖昧な
大農園,適度,大農園
良心,競争相手,競争相手
相続人,通訳者,通訳者
～を操縦する,～をかき回す,～をかき回す
求人広告,所有権,所有権
経験豊かな,～を召喚する,経験豊かな
一般市民,一般常識,一般市民
弓形,電池,弓形
より大きい方の,より小さい方の,より小さい方の
同音異義語,類義語,類義語
親切な行為,切実,親切な行為
愛国主義の,理想主義の,理想主義の
10代の若者の,美しい,10代の若者の
事業,強調,強調
療法,朗報,療法
明確に,飾る,明確に
形式,混乱,混乱
選択,構造,選択
～を配置する,～の皮をむく,～の皮をむく
理性的な,革命的な,理性的な
構内,構成,構成
前夜祭,復活祭,復活祭
侵略する,～を詳細に調べる,～を詳細に調べる
実体のある,代用の,実体のある
ガンマ線,エックス線,エックス線
震える,煙が立ち込める,煙が立ち込める
即時の,～を設立する,～を設立する
ブザーのビーッという音,ポンプ,ブザーのビーッという音
避難所,指導者,指導者
図表,だます,図表
完全に,ただ単に,完全に
(金品を)与える,満足する,(金品を)与える
射撃,優勢,射撃
引き出し,親戚,引き出し
対話,比較,比較
即座に,身体的に,即座に
大きさ,ねずみ(複),ねずみ(複)
洞察力,視力,視力
二者択一の,自由主義の,二者択一の
～を退屈させる,～を懇願する,～を退屈させる
～を促す,悪夢,～を促す
跡,大地,跡
泥,詩,泥
年を取った,くしゃみをする,年を取った
険しい,ふさわしい,ふさわしい
大げさに,海外へ,海外へ
有罪,追跡,追跡
保護するもの,プロジェクター,保護するもの
～を悲しませる,～をぞくぞくさせる,～をぞくぞくさせる
効果的に,見かけ上は,効果的に
差別,対話,対話
不十分な,過不足なく,不十分な
計算,複雑,計算
歴史家,リス,歴史家
キュウリ,キウイ,キウイ
カウボーイ,センチメートル,カウボーイ
先導,点灯,点灯
未亡人,一般に,一般に
くつろぎ,発明,くつろぎ
目立って,きちんと,目立って
漁業,農業,農業
グルメ,銘柄,銘柄
羊飼い,客室乗務員,客室乗務員
量,家庭教師,家庭教師
礼儀正しい,する価値のある,する価値のある
認識した,昇天した,昇天した
丸太,手引書,手引書
優美な,ギャラリー,優美な
学習者,輪郭,輪郭
原因,自動車,自動車
～をでっちあげる,数学者,～をでっちあげる
まぶた,視界,まぶた
勝利を得た,部分的な,部分的な
半島,無人島,半島
牡蠣,故障,故障
波,苦しんでいる人,苦しんでいる人
不完全な,氷の,氷の
賛美歌,～を焼く,～を焼く
契約,羊毛の,羊毛の
元に戻すこと,さらすこと,さらすこと
残余,住宅,住宅
解釈,制限,制限
～を決心する,志願者,志願者
旅行案内所,全体としては,全体としては
収穫,ボクサー,収穫
～をげんこつで殴る,使い尽くす,～をげんこつで殴る
婦人服仕立屋,女主人,女主人
宿泊施設,成功,宿泊施設
間接的な,発展した,発展した
自動的に,明確に,自動的に
～をとがめる,花,花
舗装道路,寄付,舗装道路
主要な,閉じた,閉じた
考慮,連盟,考慮
～をきつくする,～を柔らかくする,～を柔らかくする
中級の,桶,桶
照会,反射,反射
印象的な,呼吸,呼吸
合間,夏期,合間
思いやり,松の木,松の木
悲観的な,やりがいのある,やりがいのある
購読料,処方箋,処方箋
魔女,どちら,魔女
～を伝える,～を巡る,～を伝える
成り行き,意見の一致,意見の一致
世俗的な,楽観的な,世俗的な
様々な,水分が多くておいしい,水分が多くておいしい
～をドシンとたたく,大使,～をドシンとたたく
無視,皮肉,皮肉
ヘアブラシ,美容師,ヘアブラシ
事情,知り合い,知り合い
ミキサー,固定する物,ミキサー
喜んで同意する,気分の悪くなる,気分の悪くなる
妊娠,降雨,降雨
散歩,歩道,歩道
感謝,もめごと,感謝
～を結合する,～に注入する,～を結合する
振る舞い,接触,振る舞い
浅い,批判的な,浅い
手品師,技術者,技術者
スペースシャトル,宇宙服,スペースシャトル
ベビーシッター,飛行機,ベビーシッター
一部,感覚的な,一部
滑るように動く,未払いの,滑るように動く
投票,支配,支配
嵐の,中間の,中間の
農民,境界,境界
プライバシー,測定,測定
ボイラー,無知,無知
好意,副詞,副詞
予約済みの,タイピスト,タイピスト
締める,～を納得させる,～を納得させる
楽しめる,まっすぐな,楽しめる
財産,不運,不運
光っている,燃えている,燃えている
手短に,基本的に,手短に
基本的に,暖かく,暖かく
堂々とした,満足した,満足した
前夜,夕焼け,前夜
数学の,世界中に広まった,世界中に広まった
削減,真空,真空
満足した,衝撃を受けた,衝撃を受けた
物理学の,数学の,数学の
前夜,寸劇,寸劇
不確実性,均衡,均衡
