english,japanese
drag,～を引きずる
handy,重宝する
donor,提供者
demonstration,論証
chapel,礼拝堂
indication,指示
boarding pass,搭乗券
sought,～を捜し求めた
encyclopedia,百科事典
dental,歯の
fire hydrant,消火栓
calculator,電卓
restore,～を復帰させる
born,生まれつきの
jar,広口瓶
hospitality,親切なもてなし
scholarship,奨学金
sportsman,スポーツマン
useless,役に立たない
first-aid kit,救急箱
napkin,ナプキン
groan,うめく
roughly,乱暴に
toothless,歯のない
currently,現在のところ
marathon,マラソン
idiot,ばか
supposed,想定されていた
tablecloth,テーブルクロス
heroine,女の主人公
halt,停止
estimate,～を見積もる
hit,打撃
living,生きている
infection,伝染
interruption,妨害
unnecessary,不必要な
trainee,見習い
compose,～を構成する
promoter,促進者
separately,別々に
lighthouse,灯台
gender,性別
embassy,大使館
pony,ポニー
remark,～と述べる
offend,～を怒らせる
firm,会社
boyhood,少年時代
breathless,息切れした
exceptional,例外的な
increasingly,ますます
pudding,プディング
despair,絶望
trolley,路面電車
hood,ずきん
molecule,分子
graphic,写実的な
engineering,工学
glow,白熱
guitarist,ギタリスト
oxen,牛(複)
poorly,貧しく
practically,実用的に
souvenir,土産
brand-new,新品の
band,～を紐で縛る
elaborate,手の込んだ
publication,公表
inquire,～を尋ねる
sleeper,眠る人
haze,もや
nerve,神経
media,マスメディア
sorrowful,悲しんでいる
imaginative,想像的な
critic,批評家
blackness,暗黒
fireplace,暖炉
microorganism,微生物
destination,目的地
wallpaper,壁紙
redundant,冗長な
serial,連続した
mall,ショッピングセンター
access,(情報を)入手する
pioneer,先駆者
virtue,美徳
landlord,家主
campaign,組織的活動
cube,立方体
engagement,婚約
bond,結束
tolerant,寛大な
greatness,偉大さ
anthology,選集
coolly,冷静に
cheaply,安っぽく
vehicle,車
draft,下書き
disturb,～をかき乱す
ship,(品物を)出荷する
harp,ハープ
thankful,感謝している
childish,子どもっぽい
handmade,手作りの
basically,基本的に
sound,～に聞こえる
drown,おぼれ死ぬ
divorce,離婚
flu,インフルエンザ
embarrassed,当惑した
wax,ろう
session,会合
dare,あえて～する
trail,通った跡
snowstorm,吹雪
inspiration,突然のひらめき
peculiarly,特に
reasonable,道理をわきまえた
sales,売り上げ
grip,～をしっかりつかむ
extent,程度
cool,～を冷やす
ruin,荒廃
mean,中間
layer,階層
brilliance,輝き
spy,密偵
pamphlet,パンフレット
anxiety,心配
blinds,ブラインド
campus,構内、キャンパス
passing,通り過ぎる
ambition,大望
illusion,幻覚
tremendous,すさまじい
opponent,対抗者
grab,～を不意につかむ
upside,上側
age,年をとる
mistaken,誤った
fancy,空想
shameful,恥ずべき
sponsor,保証人
token,しるし
helpless,どうすることもできない
trick,～をだます
subconscious,潜在意識の
ward,区
gardener,植木屋
signal,～に合図する
bind,～を縛る
fascinating,うっとりさせる
imbalance,不均衡
realization,認識
bullet,弾丸
monument,記念碑
psychology,心理学
stick,～を糊で貼り付ける
thermometer,温度計
table tennis,卓球
divine,神の
apparently,見たところ～らしい
beam,光線
bound,～行きの
omelette,オムレツ
flammable,可燃性の
hypothesis,仮説
tweezers,ピンセット
cutting,切断
optimistic,楽観的な
renew,～を再び新しくする
binder,バインダー
entertainer,芸人
guidance,案内、手引き
linguist,言語学者
suffering,苦痛
culturally,文化的に
abolish,～を廃止する
force,～を強要する
hourly,1時間ごとの
paintbrush,絵筆
wineglass,ワイングラス
dominate,～を支配する
shape,～を形作る
knowing,知ったかぶりの
old-fashioned,時代遅れの
scarf,スカーフ
avenue,大通り
quadratic,正方形の
northward,北へ
charity,慈善
core,芯
unofficial,非公式の
gene,遺伝子
calf,子牛
mammal,哺乳類
bookseller,書店経営者
legally,合法的に
