english,japanese
downward,下の方へ
proposal,提案
extensive,広大な
earache,耳の痛み
machinery,機械装置
salesclerk,店員
exploration,探検
dynamic,動的な
investigation,調査
utterly,全く
gang,一団
donate,～を寄付する
suburb,郊外
fragment,破片
triangular,三角の
interestingly,面白いことに
celebration,祝典
ideally,理想的に
waterproof,水を通さない
killer,殺人者
isolate,～を孤立させる
regional,地域の
legend,伝説
duke,公爵
loving,愛情に満ちた
atom,原子
provider,供給者
urgency,緊急
trading,貿易
stimulus,刺激
unity,統一
description,描写
successfully,首尾よく
sack,袋
dresser,着付け係
concentrate,～を集結させる
caution,警戒
code,符号
dependent,頼っている
precisely,正確に
humor,ユーモア
interference,妨害
review,再検討
satisfactory,満足のできる
assessment,査定
perspective,視点
warmly,暖かく
donkey,ロバ
briefly,手短に
satisfied,満足した
plantation,大農園
ambiguous,曖昧な
eve,前夜
stir,～をかき回す
experienced,経験豊かな
civilian,一般市民
interpreter,通訳者
competitor,競争相手
ownership,所有権
therapy,療法
emphasis,強調
uncertainty,不確実性
teenage,10代の若者の
kindness,親切な行為
definitely,明確に
arch,弓形
synonym,類義語
minor,より小さい方の
idealistic,理想主義の
wildlife,野生生物
confusion,混乱
rational,理性的な
province,地方
peel,～の皮をむく
investigate,～を詳細に調べる
worldwide,世界中に広まった
option,選択
Easter,復活祭
composition,構成
institute,～を設立する
contribute,(金品を)与える
smoky,煙が立ち込める
chart,図表
altogether,完全に
beep,ブザーのビーッという音
X-ray,エックス線
shooting,射撃
substantial,実体のある
instructor,指導者
prompt,～を促す
alternative,二者択一の
eyesight,視力
bore,～を退屈させる
drawer,引き出し
comparison,比較
instantly,即座に
mice,ねずみ(複)
trace,跡
empire,帝国
fitting,ふさわしい
pursuit,追跡
dirt,泥
overseas,海外へ
aged,年を取った
protector,保護するもの
vacuum,真空
thrill,～をぞくぞくさせる
salesperson,販売員
historian,歴史家
cowboy,カウボーイ
insufficient,不十分な
commonly,一般に
relaxation,くつろぎ
kiwi,キウイ
calculation,計算
lighting,点灯
discourse,対話
effectively,効果的に
worthwhile,する価値のある
manual,手引書
outline,輪郭
graceful,優美な
remarkably,目立って
flight attendant,客室乗務員
farming,農業
risen,昇天した
brand,銘柄
tutor,家庭教師
partial,部分的な
shocked,衝撃を受けた
sufferer,苦しんでいる人
roast,～を焼く
eyelid,まぶた
automobile,自動車
peninsula,半島
breakdown,故障
fake,～をでっちあげる
icy,氷の
exposure,さらすこと
residence,住宅
woolen,羊毛の
limitation,制限
harvest,収穫
mistress,女主人
punch,～をげんこつで殴る
applicant,志願者
overall,全体としては
accommodation,宿泊施設
developed,発展した
consideration,考慮
soften,～を柔らかくする
tub,桶
automatically,自動的に
breathing,呼吸
reflection,反射
bloom,花
closed,閉じた
pavement,舗装道路
prescription,処方箋
meantime,合間
worldly,世俗的な
mathematical,数学の
challenging,やりがいのある
transmit,～を伝える
consensus,意見の一致
juicy,水分が多くておいしい
witch,魔女
pine,松の木
mixer,ミキサー
acquaintance,知り合い
rainfall,降雨
thanksgiving,感謝
hairbrush,ヘアブラシ
sidewalk,歩道
bang,～をドシンとたたく
irony,皮肉
disgusting,気分の悪くなる
unite,～を結合する
technician,技術者
conduct,振る舞い
portion,一部
boundary,境界
halfway,中間の
babysitter,ベビーシッター
domination,支配
space shuttle,スペースシャトル
sliding,滑るように動く
shallow,浅い
ignorance,無知
typist,タイピスト
adverb,副詞
equation,均衡
enjoyable,楽しめる
skit,寸劇
misfortune,不運
burning,燃えている
convince,～を納得させる
measurement,測定
exclude,～を除外する
